"","Country","continent","region","ISO3","wbcode","Climate_NominalScore","Climate_AdjustedScore","Hunger_Score","Corruption_Score","Fragile_State","LIFDC","Average_Conflict","GDP","HDI_2014","Corruption_Zscore","Climate_Zscore","Conflict_Zscore","Hunger_Zscore","Climate_Nominal_Zscore","Conflict_Zscore_Reversed","Summary_ZScore","Summary_ZScore_2","Summary_ZScore_3","Summary_ZScore_4","Summary_ZScore_5"
"99","Guinea","Africa","Western Africa","GIN","GIN",37.1487912256,4.68615265575,28.8,25,0,1,3.40026606825,15.28,0.411,-0.874074299425221,0.209861955771809,-0.277960540088318,0.948793760674436,-1.12279684054082,0.277960540088318,-0.128750601188365,-0.57297019995924,-0.298056879668451,-0.42241815022625,-0.99843556998302
"100","Guinea-Bissau","Africa","Western Africa","GNB","GNB",33.125698144,-0.606927184705,30.3,17,1,1,1.95976907425,2.68,0.42,-1.2720268259928,-0.149230092719701,-0.927730195211817,1.07660563125961,-1.4208598140575,0.927730195211817,-0.164508907833562,-0.588385481612829,-0.172148315390492,-0.246564809422843,-1.34644332002515
"101","Guyana","Americas","South America","GUY","GUY",43.8935545551,-5.57784232001,14.4,29,0,0,2.26406153325,5.77,0.636,-0.675098036141431,-0.486465908656437,-0.790472007957931,-0.278200196943226,-0.623090725648361,0.790472007957931,-0.123697312279979,-0.169238917943954,0.0576869859082502,0.083690641154785,-0.649094380894896
"102","Haiti","Americas","Caribbean","HTI","HTI",33.3202285706,-2.53959617042,37.3,17,1,1,2.57510974825,19.02,0.483,-1.2720268259928,-0.280345829881292,-0.650166479915066,1.67306102732375,-1.40644744123495,0.650166479915066,-0.300735391986342,-0.676102595770894,-0.310930173038867,-0.37814048065994,-1.33923713361387
"103","Hanover",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Heard Island and McDonald Islands",NA,NA,"HMD","HMD",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Hesse Electoral",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Hesse Grand Ducal",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Holy See (Vatican City State)","Europe","Southern Europe","VAT","VAT",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Honduras","Americas","Central America","HND","HND",43.3265891146,-1.81316627807,13.4,31,0,1,2.2272519225,41,0.606,-0.575609904499536,-0.231063520527914,-0.8070758385677,-0.363408110666675,-0.665096068713757,0.8070758385677,0.000134137846750241,-0.144543378215197,0.115732967034082,0.0709898849269718,-0.620352986606646
"109","Hong Kong","Asia","Eastern Asia","HKG","HKG",NA,NA,NA,75,0,0,NA,414.48,0.91,1.61312899162216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Hungary","Europe","Eastern Europe","HUN","HUN",63.5096378971,2.28900148976,NA,51,0,0,NA,257.02,0.828,0.419271411919415,0.0472349127863464,NA,NA,0.830225916814782,NA,NA,NA,NA,NA,0.624748664367098
"111","Iceland","Europe","Northern Europe","ISL","ISL",75.8802196617,9.34140503195,NA,79,0,0,NA,15.17,0.899,1.81210525490595,0.525682642858013,NA,NA,1.74673774244262,NA,NA,NA,NA,NA,1.77942149867428
"112","India","Asia","Southern Asia","IND","IND",45.2002844464,-2.03239713566,29,38,0,1,6.99727968425,8027.03,0.609,-0.227401443752903,-0.245936535883333,1.34455606805314,0.965835343419126,-0.526277704153688,-1.34455606805314,-0.605964682563126,-0.699411738653244,-0.785978755903022,-0.935416886103415,-0.376839573953296
"113","Indonesia","Asia","South-Eastern Asia","IDN","IDN",50.3766216927,-2.68422619771,22.1,36,0,0,2.50336223925,2838.64,0.684,-0.326889575394798,-0.290157790845116,-0.682529861701408,0.37790073872733,-0.142773161687638,0.682529861701408,0.0218274984871648,0.0709557082063241,0.177820143153305,0.269878350006885,-0.234831368541218
"114","Iran, Islamic Republic of","Asia","Southern Asia","IRN","IRN",53.4190469638,-3.87351239094,6.8,27,0,0,6.132054639,1381.67,0.766,-0.774586167783326,-0.370841103442365,0.954276198259602,-0.925780341241436,0.0826340820954761,-0.954276198259602,-0.699901156495098,-0.548742761315817,-0.864431183021464,-0.435821058082063,-0.345976042843925
"115","Iraq","Asia","Western Asia","IRQ","IRQ",40.6904451543,-15.4122128917,22.2,16,1,0,9.38805446425,531.39,0.654,-1.32177089181375,-1.15364728144095,2.4229706088325,0.386421530099674,-0.860402737360999,-2.4229706088325,-1.63279626069573,-1.53504807933575,-1.87237075032313,-1.64168667309675,-1.09108681458737
"116","Ireland","Europe","Northern Europe","IRL","IRL",73.0150368801,5.30352694362,NA,75,0,0,NA,250.29,0.916,1.61312899162216,0.251745736935059,NA,NA,1.53446204256921,NA,NA,NA,NA,NA,1.57379551709568
"117","Isle of Man","Europe","Northern Europe","IMN","IMY",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Israel","Asia","Western Asia","ISR","ISR",65.0157179578,1.1427784683,NA,61,0,0,8.12836223925,281.76,0.894,0.91671207012889,-0.0305269168498411,1.85475714777754,NA,0.941808396300417,-1.85475714777754,-0.322857331499498,0.00125443955058757,-0.469022538824327,-0.456474375738564,0.929260233214654
"119","Italy","Europe","Southern Europe","ITA","ITA",66.3336431646,1.89729017761,NA,44,0,0,NA,2173.6,0.873,0.0710629511727823,0.0206605134315183,NA,NA,1.03945085647814,NA,NA,NA,NA,NA,0.555256903825461
"120","Jamaica","Americas","Caribbean","JAM","JAM",51.4727958823,-0.126271316618,8.1,41,0,0,3.09410555775,24.6,0.719,-0.0781692462900603,-0.116621534849169,-0.416061355396246,-0.815010053400953,-0.0615597938093892,0.416061355396246,0.0737568580856723,0.0921107717655988,0.168946054553093,0.177250780793428,-0.0698645200497247
"121","Japan","Asia","Eastern Asia","JPN","JPN",73.1880647767,8.04154029259,NA,75,0,0,1.56902723225,4842.4,0.891,1.61312899162216,0.437497482972244,-1.10398338628141,NA,1.54728133566432,1.10398338628141,1.05153662029194,1.4214645711893,1.35855618895178,1.32563236097287,1.58020516364324
"122","Jersey","Europe","Northern Europe","JEY","JEY",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Jordan","Asia","Western Asia","JOR","JOR",51.866744475,-2.49187386779,5.8,53,0,0,5.47537585525,82.99,0.748,0.51875954356131,-0.277108263109832,0.658065967609057,-1.01098825496489,-0.0323729252554616,-0.658065967609057,-0.138804895719193,-0.0572264497677363,-0.0696532120238736,-0.345219446432259,0.243193309152924
"124","Kazakhstan","Asia","Central Asia","KAZ","KAZ",62.8867855147,1.87737290077,8,28,0,0,3.62268984725,430.5,0.788,-0.724842101962378,0.0193092895776507,-0.177631124078377,-0.823530844773298,0.78408002125766,0.177631124078377,-0.17596722943545,0.0789563477912195,-0.273605488942001,0.480855572668018,0.0296189596476408
"125","Kenya","Africa","Eastern Africa","KEN","KEN",37.7441068997,-3.20808579989,24,25,0,1,7.386214762,143.05,0.548,-0.874074299425221,-0.325697367677305,1.5199942761075,0.539795774801882,-1.07869108499296,-1.5199942761075,-0.906588647736675,-1.15758655350856,-1.19703428776636,-1.29934268055023,-0.97638269220909
"126","Kiribati","Oceania","Micronesia","KIR","KIR",NA,NA,NA,NA,1,0,NA,0.2,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Korea",NA,NA,NA,NA,NA,NA,28.8,NA,0,0,NA,1849.4,NA,NA,NA,NA,0.948793760674436,NA,NA,NA,NA,NA,NA,NA
"128","Korea, Democratic People's Republic of","Asia","Eastern Asia","PRK","PRK",NA,NA,NA,8,0,1,3.539201146,NA,NA,-1.71972341838133,NA,-0.215290643566358,NA,NA,0.215290643566358,NA,NA,-0.752216387407485,NA,NA
"129","Korea, Republic of","Asia","Eastern Asia","KOR","KOR",74.8843957172,10.2902667771,NA,56,0,0,1.39545280175,NA,0.898,0.667991741024153,0.590055128834316,-1.18227816809214,NA,1.67295912485251,1.18227816809214,0.81344167931687,1.1744096779896,0.925134954558148,1.42761864647233,1.17047543293833
"130","Kosovo",NA,NA,NA,"KSV",NA,NA,NA,33,1,0,NA,17.63,NA,-0.476121772857641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Kuwait","Asia","Western Asia","KWT","KWT",54.6631494514,-17.5056713638,5,49,0,0,1.39545280175,288.76,0.816,0.31978328027752,-1.29567126631129,-1.18227816809214,-1.07915458594364,0.174807163675305,1.18227816809214,0.0687967273527906,0.558956204014989,0.751030724184831,0.678542665883724,0.247295221976412
"132","Kyrgyzstan","Asia","Central Asia","KGZ","KGZ",54.3736163265,12.3014727791,9.4,28,0,1,2.66604084825,19.81,0.655,-0.724842101962378,0.726498958318384,-0.609149893463932,-0.70423976556047,0.153356229682758,0.609149893463932,0.203602249939979,0.0125546737281038,-0.0578461042492233,0.381253061573345,-0.28574293613981
"133","Lao People's Democratic Republic","Asia","South-Eastern Asia","LAO","LAO",44.7482356246,-1.81437508298,28.5,25,0,0,2.6041280605,37.5,0.575,-0.874074299425221,-0.231145528025334,-0.637077095611256,0.923231386557401,-0.559769103250732,0.637077095611256,-0.156047577279766,-0.265588769021566,-0.118498601906982,0.0386539961802621,-0.716921701337977
"134","Latvia","Europe","Northern Europe","LVA","LVA",65.6429081259,4.89784063075,2.5,55,0,0,NA,49.89,0.819,0.618247675203205,0.22422324841712,NA,-1.29217437025227,0.988275669781935,NA,NA,NA,NA,NA,0.80326167249257
