"Country","continent","region","ISO3","wbcode","Climate_NominalScore","Climate_AdjustedScore","Hunger_Score","Corruption_Score","Fragile_State","LIFDC","Average_Conflict","GDP","HDI_2014","Corruption_Zscore","Climate_Zscore","Conflict_Zscore","Hunger_Zscore","Climate_Nominal_Zscore","Summary_ZScore","Summary_ZScore_2","Summary_ZScore_3","Summary_ZScore_4","Summary_ZScore_5"
"South Africa","Africa","Southern Africa","ZAF","ZAF",53.2007792931,-1.91504984357,12.4,44,0,0,3.439233993,724.01,0.666,0.0710629511727823,-0.237975484704874,-0.260383151776402,-0.448616024390123,0.0664630640176321,-0.142431895102831,-0.0409523788619958,-0.0946601003018097,-0.0969600438793848,0.0687630075952072
"South Georgia and the South Sandwich Islands",NA,NA,"SGS","SGS",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Sudan","Africa","Northern Africa","SSD","SSD",NA,NA,NA,NA,1,1,9.35312517375,22.46,0.467,NA,NA,2.40721494038166,NA,NA,NA,NA,NA,NA,NA
"Spain","Europe","Southern Europe","ESP","ESP",67.1939878151,2.99318831613,NA,58,0,0,NA,1636.28,0.876,0.767479872666048,0.0950082125709576,NA,NA,1.10319208233991,NA,NA,NA,NA,0.93533597750298
"Sri Lanka","Asia","Southern Asia","LKA","LKA",50.0973498436,-2.9730140479,25.5,37,0,0,2.8522519225,234.71,0.757,-0.27714550957385,-0.309749677578355,-0.525155059736706,0.667607645387055,-0.1634638581428,-0.370683415629637,-0.321921475817785,-0.401150284655278,-0.344309458939753,-0.220304683858325
"Sudan","Africa","Northern Africa","SDN","SDN",30.2909798411,-13.7143545537,NA,15,1,1,9.35312517375,167.42,0.479,-1.3715149576347,-1.03846152059507,2.40721494038166,NA,-1.63087846122947,-0.000920512616032839,-0.198392826160835,0.517849991373484,0.388168239576096,-1.50119670943208
"South Sudan","Africa","Northern Africa","SDN","SDN",30.2909798411,-13.7143545537,NA,12,1,1,9.35312517375,22.46,0.467,-1.52074715509754,-1.03846152059507,2.40721494038166,NA,-1.63087846122947,-0.0506645784369804,-0.248136891981782,0.443233892642062,0.388168239576096,-1.57581280816351
"Suriname","Americas","South America","SUR","SUR",49.5186970379,-7.82726204007,10.4,36,0,0,2.023800154,9.21,0.714,-0.326889575394798,-0.639070584864025,-0.898847488215802,-0.619031851837021,-0.206335094875936,-0.621602549491541,-0.477357386162178,-0.6128685318053,-0.552591291545869,-0.266612335135367
"Svalbard and Jan Mayen","Europe","Northern Europe","SJM","SJM",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swaziland","Africa","Southern Africa","SWZ","SWZ",39.5262739481,-8.7123435602,26,NA,0,0,3.37021582275,10.87,0.531,NA,-0.699116105756478,-0.291515401872994,0.71021160224878,-0.94665386910575,NA,NA,NA,-0.619084635489372,NA
"Sweden","Europe","Northern Europe","SWE","SWE",78.7476115561,11.5840966041,NA,89,0,0,NA,467.45,0.907,2.30954591311542,0.677830869420332,NA,NA,1.95917711109441,NA,NA,NA,NA,2.13436151210492
"Switzerland","Europe","Western Europe","CHE","CHE",78.5110503296,9.22893049915,NA,86,0,0,1.00893078225,482.73,0.93,2.16031371565258,0.518052168426551,-1.35662791012857,NA,1.94165075981216,0.440579324650185,0.915112188445387,0.401842902762003,0.292511424841791,2.05098223773237
"Syrian Arab Republic","Asia","Western Asia","SYR","SYR",41.7513755728,98.5073889877,NA,18,0,1,9.12040359575,NA,0.594,-1.22228276017185,6.57486323327946,2.3022404627488,NA,-0.781800510462822,2.5516069786188,0.099385730704709,0.539978851288475,0.76021997614299,-1.00204163531734
"Taiwan, Province of China",NA,NA,"TWN","TWN",NA,NA,NA,62,0,0,NA,1113.79,NA,0.966456135949838,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tajikistan","Asia","Central Asia","TJK","TJK",47.3767289996,7.31484990104,30.3,26,0,1,5.36406890525,23.3,0.624,-0.824330233604273,0.388197500884999,0.607858380355773,1.07660563125961,-0.36502925126853,0.0572418825454995,-0.193833701505677,-0.10823592662425,0.121414564543621,-0.594679742436402
"Tanzania, United Republic of","Africa","Eastern Africa","TZA","TZA",40.1369884278,0.434779182762,28.7,30,0,1,3.85309613225,138.3,0.521,-0.625353970320483,-0.0785588607157231,-0.0737010131747673,0.940272969302091,-0.901407246644636,-0.259204614736991,-0.533487410046629,-0.349527491747625,-0.487554129909701,-0.763380608482559
"Thailand","Asia","South-Eastern Asia","THA","THA",58.3931841836,2.23596830206,11.9,38,0,0,4.25,1107,0.726,-0.227401443752903,0.0436370460276257,0.105331702852615,-0.491219981251848,0.451158026319993,-0.0261442316242207,0.109696095139902,-0.0610348704501438,0.278244864586304,0.111878291283545
"Timor-Leste","Asia","South-Eastern Asia","TLS","TMP",39.4739490332,1.0018132891,40.7,28,1,0,1.63393078225,7.48,0.595,-0.724842101962378,-0.0400902479331957,-1.07470713129758,1.96276793398348,-0.950530518093921,-0.613213160397717,-0.916693250451292,-0.899774616629978,-1.01261882469575,-0.837686310028149
